"Facebook Social Network Database (n = 715 observations, m = 21 variables)"																					
Friend 	Age	Photos	# of Tags	Albums	Gender 	Emp	Profile	Cover	Orientation	Relationship	Posts	Replies	MidWest	Seast	West	Children	Likes	Edu	Events	USA	Friends
301	21	425	7	1	0	0	1	1	1	0	12	22	1	0	0	0	17	0	8	1	"3,063"
302	21	258	6	1	0	1	1	1	1	0	7	14	1	0	0	0	90	0	12	1	"1,274"
303	20	180	50	2	0	1	1	1	1	1	13	12	0	0	0	0	0	0	0	0	224
304	35	95	10	2	0	1	1	1	1	0	14	11	0	0	0	2	0	0	0	1	189
305	38	100	20	2	0	1	0	1	1	1	18	16	0	0	1	5	8	0	0	0	325
306	24	70	1	6	1	0	1	0	1	0	2	5	1	0	0	0	28	0	3	1	660
307	40	80	10	2	0	1	0	1	1	0	17	15	1	0	0	4	0	0	0	0	235
308	45	53	15	3	0	1	0	1	1	0	14	13	0	0	1	5	0	0	0	0	226
309	28	201	78	4	0	1	1	1	1	0	12	11	1	0	0	1	0	0	0	0	210
310	23	250	47	5	1	1	1	1	1	0	16	12	1	0	0	0	0	0	1	1	137
311	20	320	100	6	0	1	1	1	1	0	20	19	1	0	0	0	0	0	0	1	148
312	25	125	20	5	0	1	1	1	1	1	27	26	1	0	0	1	2	0	0	1	150
313	25	145	30	3	1	0	1	1	1	1	21	20	0	1	0	0	0	0	1	0	300
314	26	155	50	5	1	0	1	1	1	1	18	17	0	0	1	0	4	0	0	0	129
315	29	143	40	4	1	0	1	1	1	1	16	14	0	0	0	2	7	0	0	0	200
316	27	203	10	7	1	0	1	1	1	0	19	17	0	0	1	0	7	0	0	0	130
317	20	3830	2879	46	0	1	1	0	1	1	135	197	1	0	0	0	85	0	6	1	1077
318	21	1425	1572	32	0	1	1	1	1	0	34	56	0	0	1	0	268	0	5	1	1571
319	25	861	380	20	1	1	1	0	1	1	81	117	0	1	0	0	123	0	1	1	606
320	17	2301	563	40	0	0	1	1	1	0	68	80	0	1	0	0	932	1	6	1	268
321	20	2445	1187	23	0	1	1	0	1	0	72	93	1	0	0	0	276	0	6	1	672
322	23	3512	1513	87	0	0	1	1	1	0	98	129	0	1	0	0	239	0	3	1	776
323	20	2976	1355	50	1	1	1	0	0	0	94	106	0	0	1	0	65	0	11	1	890
324	21	3606	604	28	0	1	1	0	1	0	62	41	0	1	0	0	188	0	2	1	557
325	21	2171	1623	44	1	1	1	1	0	0	102	132	0	1	0	0	301	0	12	1	986
326	22	1984	1062	52	0	1	1	0	1	0	39	23	0	1	0	0	234	0	11	1	570
327	22	1142	1252	29	0	1	1	0	1	1	64	92	0	0	1	0	114	0	2	1	852
328	21	639	484	17	0	1	1	0	1	0	49	36	0	1	0	0	120	0	3	1	338
329	21	2931	2195	57	0	1	1	0	1	0	63	89	0	0	0	0	281	0	10	1	962
330	27	11413	3572	172	0	1	1	1	1	0	195	212	0	1	0	0	92	1	17	1	2229
331	24	143	562	10	1	1	1	0	1	0	6	8	0	0	1	0	89	0	1	1	412
332	20	3244	961	140	1	0	1	0	0	0	110	153	1	0	0	0	413	0	8	1	1282
333	24	797	499	23	0	1	1	0	1	0	68	96	0	1	0	0	42	0	3	1	902
334	26	640	3578	17	1	1	1	0	1	1	37	71	1	0	0	0	39	0	1	1	237
335	22	1678	1478	39	1	0	1	0	1	0	58	90	0	0	0	0	603	0	17	1	1446
336	21	148	582	12	0	1	0	1	1	1	17	25	1	0	0	1	93	0	4	1	849
337	21	5955	960	86	1	1	1	1	1	0	126	193	1	0	0	0	103	0	14	1	1154
338	26	563	159	27	0	0	1	1	1	1	39	30	0	0	0	1	86	1	3	0	218
339	30	4550	200	77	0	0	1	1	1	1	13	6	0	0	0	0	180	1	9	0	250
340	44	224	25	14	0	0	1	0	1	1	5	4	0	1	0	1	166	1	4	1	196
341	22	491	15	9	0	0	1	0	1	0	4	10	1	0	0	0	267	1	1	1	205
342	26	584	53	15	0	0	1	1	1	1	25	3	1	0	0	0	0	1	0	1	145
343	18	381	3	6	1	0	1	1	1	0	0	0	0	0	0	0	114	1	14	0	280
344	17	51	15	4	1	0	1	0	1	0	12	0	0	0	0	0	193	1	26	0	301
345	33	116	46	8	0	1	1	1	1	0	7	5	0	0	0	1	20	1	3	0	250
346	24	650	78	26	0	1	1	1	1	1	8	12	1	0	0	1	19	1	1	1	193
347	23	48	70	7	1	1	1	1	1	0	67	35	0	0	0	0	207	1	11	0	350
348	35	107	265	4	0	1	1	0	1	1	15	4	1	0	0	3	12	1	3	1	344
349	38	39	6	7	1	1	1	0	1	1	0	0	0	0	0	0	2	1	1	0	205
350	45	95	35	6	0	1	0	1	1	1	38	14	0	0	0	2	34	1	4	0	76
351	24	133	0	19	0	1	1	1	1	0	2	10	0	0	0	0	148	1	1	0	280
352	17	109	0	9	0	0	1	1	1	0	19	76	0	0	0	0	222	1	5	0	305
353	36	41	43	4	0	1	1	0	1	1	0	0	1	0	0	2	8	1	2	1	122
354	18	235	5	9	0	0	1	1	1	1	0	0	0	0	0	0	3	1	1	0	280
355	15	477	14	10	0	0	1	1	1	0	1	0	0	0	0	0	9	0	0	0	73
356	14	463	763	9	0	0	1	0	1	1	107	255	0	0	0	0	1558	0	2	0	1245
357	24	327	20	13	0	1	1	0	1	0	23	53	1	0	0	0	145	1	1	1	260
358	18	842	599	23	0	0	1	1	1	0	55	85	0	0	0	0	1285	1	11	0	325
359	21	191	161	15	1	1	1	0	1	1	4	2	1	0	0	0	924	0	6	1	434
360	20	630	316	15	0	1	1	0	1	0	6	87	1	0	0	0	72	0	4	1	822
361	23	6389	10460	159	0	1	1	1	1	0	38	129	1	0	0	0	26	0	23	1	1325
362	21	549	170	14	1	1	1	1	1	1	3	17	1	0	0	0	9	0	8	1	731
363	20	757	588	17	0	1	1	1	1	1	21	11	1	0	0	0	102	0	10	1	1407
364	21	1050	829	38	1	0	1	1	1	1	11	14	1	0	0	0	122	0	2	1	783
365	20	242	809	33	0	0	1	1	1	0	23	42	1	0	0	0	218	0	6	1	1277
366	18	1905	697	46	0	0	1	0	1	0	33	28	1	0	0	0	255	1	2	1	1519
367	21	733	168	19	1	1	1	1	1	1	9	14	1	0	0	0	40	0	1	1	643
368	21	1382	533	33	0	1	1	0	1	1	13	22	1	0	0	0	172	0	58	1	303
369	21	339	446	15	1	0	1	0	1	0	27	44	1	0	0	0	149	0	1	1	1362
370	22	30	87	18	1	0	1	0	1	0	4	12	1	0	0	0	255	0	18	1	427
371	20	179	209	19	1	0	1	1	1	0	8	19	1	0	0	0	126	0	3	1	467
372	19	78	98	8	1	1	1	0	1	0	19	32	1	0	0	0	44	1	1	1	297
373	18	99	149	8	0	1	1	0	1	0	4	18	1	0	0	0	0	1	1	1	619
374	20	126	124	11	1	0	1	1	1	0	19	22	1	0	0	0	80	0	16	1	592
375	21	181	370	11	1	0	1	0	1	0	2	6	1	0	0	0	50	0	1	1	627
376	19	99	50	9	0	1	1	0	1	0	6	19	1	0	0	0	1658	1	5	1	1026
377	21	2845	1970	67	0	1	1	1	1	1	28	36	1	0	0	0	137	1	6	1	1388
378	19	279	426	17	1	1	1	0	1	1	20	19	1	0	0	0	19	0	3	1	1192
379	20	47	279	15	1	1	1	0	1	1	4	9	1	0	0	0	172	0	1	1	518
380	22	2338	995	44	1	1	1	0	1	1	17	12	1	0	0	0	224	0	53	1	645
381	22	62	713	4	1	1	1	0	1	1	25	3	1	0	0	0	23	1	5	1	744
382	18	680	245	11	0	1	1	0	1	0	36	12	1	0	0	0	221	1	0	1	1328
383	22	56	289	7	1	1	1	0	1	0	8	4	0	0	1	0	322	0	396	1	249
384	51	5	207	6	1	1	1	0	1	1	38	1	1	0	0	3	99	0	105	1	2214
385	37	68	54	11	0	1	1	0	1	1	4	2	1	0	0	2	46	1	11	1	159
386	22	5499	1922	98	0	1	1	0	1	1	8	3	0	0	1	0	4	0	232	1	1399
387	22	1254	101	5	1	1	1	0	1	1	25	15	0	0	1	0	25	1	25	1	856
388	25	505	52	9	0	0	1	0	1	1	5	4	0	1	0	0	45	0	45	1	492
389	26	254	42	7	1	0	1	1	1	0	10	8	0	0	0	1	151	0	78	1	105
390	18	1058	438	12	0	1	0	0	1	0	6	4	1	0	0	0	105	1	102	1	458
391	26	185	107	8	1	1	1	0	1	1	7	3	0	1	0	3	50	0	56	1	205
392	48	25	202	15	0	0	1	0	1	0	9	4	0	0	0	5	24	0	35	0	45
393	50	30	50	8	1	1	1	0	1	1	7	4	1	0	0	3	31	0	29	1	155
394	19	159	229	11	0	1	1	1	1	1	12	5	1	0	0	0	75	1	16	0	581
395	26	105	143	5	1	1	0	0	1	0	2	1	0	0	0	0	39	0	16	1	139
396	24	334	62	13	1	1	1	0	1	1	34	25	0	0	1	0	546	0	250	1	1061
397	20	166	50	11	1	0	0	0	1	0	10	1	1	0	0	0	124	1	26	1	65
398	22	492	376	13	0	1	1	1	1	0	25	24	0	1	0	0	282	1	243	1	651
399	29	257	53	15	0	1	0	1	1	0	12	1	0	0	0	2	51	0	157	1	269
400	35	385	250	19	1	1	1	0	1	1	25	9	0	0	0	4	28	0	5	0	547
401	32	276	200	11	1	1	1	0	1	1	1	10	0	0	0	0	8	0	27	0	2056
402	20	81	37	7	1	1	1	1	1	1	18	23	1	0	0	0	621	0	10	1	1124
403	21	365	286	19	1	0	1	1	1	0	2	5	1	0	0	0	1071	1	2	1	347
404	20	86	26	14	1	0	1	1	1	1	17	27	1	0	0	0	526	0	3	1	450
405	29	927	448	28	1	1	1	0	1	0	32	35	1	0	0	0	127	0	0	1	278
406	32	1126	877	85	0	1	0	1	1	0	5	12	1	0	0	0	179	1	1	1	493
407	19	871	310	31	0	1	1	1	1	1	40	70	1	0	0	0	587	0	15	1	4897
408	27	327	303	18	1	1	1	1	1	0	27	50	0	0	0	0	1232	0	0	0	147
409	21	228	204	21	1	0	1	0	1	1	31	63	1	0	0	0	232	0	0	1	525
410	22	1831	1222	60	0	1	1	1	1	1	21	32	1	0	0	0	657	0	14	1	327
411	23	1724	76	67	0	1	1	0	1	0	9	20	1	0	0	0	458	0	2	1	349
412	21	49	161	11	1	0	0	1	1	1	10	7	1	0	0	0	111	1	2	1	434
413	25	11001	587	128	0	1	1	1	1	1	21	30	1	0	0	0	115	0	3	1	278
414	20	5	2	3	1	0	1	0	1	0	4	19	1	0	0	0	383	0	9	1	32
415	21	214	256	16	0	1	1	1	1	0	6	31	1	0	0	0	73	0	22	1	271
416	21	40	291	9	1	0	1	0	1	0	15	27	0	0	1	0	27	0	0	1	3592
417	21	95	122	9	1	1	0	1	1	0	14	46	1	0	0	0	51	0	1	1	346
418	35	2682	2153	62	0	1	1	1	1	1	22	15	1	0	0	0	124	0	3	1	764
419	20	204	127	9	1	1	0	1	1	0	3	22	1	0	0	0	995	0	0	1	215
420	24	506	650	23	1	1	1	0	1	1	25	50	1	0	0	0	144	0	0	1	528
421	22	247	126	17	1	0	1	1	1	0	29	42	1	0	0	0	721	0	5	1	359
422	18	2810	1250	24	0	0	1	1	1	1	16	40	1	0	0	0	331	0	6	1	1998
423	22	1011	4499	92	1	1	1	1	1	1	10	15	1	0	0	0	692	0	2	1	800
424	18	959	207	10	0	0	1	1	1	1	14	32	1	0	0	0	699	0	3	1	1295
425	29	156	174	10	1	1	1	1	1	1	3	5	1	0	0	0	14	0	3	1	659
426	21	1235	191	8	0	1	1	1	1	1	12	19	1	0	0	0	0	1	7	1	860
427	20	307	609	24	1	1	1	1	1	0	6	15	1	0	0	0	45	1	3	1	1018
428	20	383	53	8	1	0	1	0	1	0	5	12	1	0	0	0	28	0	6	1	855
429	22	847	688	23	1	0	1	1	1	1	18	27	1	0	0	0	247	0	13	1	1140
430	17	279	307	43	1	1	1	1	1	0	4	4	1	0	0	0	250	1	8	1	1357
431	25	64	259	15	0	1	1	0	1	1	7	16	1	0	0	0	22	1	5	1	384
432	21	126	16	3	1	1	1	0	1	0	8	22	1	0	0	0	39	1	4	1	994
433	19	430	35	5	1	0	1	1	1	1	10	23	1	0	0	0	140	0	5	1	1678
434	23	576	1333	27	1	1	1	1	1	1	11	17	1	0	0	0	64	0	1	1	525
435	20	420	1734	26	0	1	1	0	1	1	13	33	1	0	0	0	160	1	19	1	1075
436	21	1251	673	29	0	1	1	1	1	0	9	25	1	0	0	0	66	1	21	1	1268
437	22	0	794	20	0	1	1	1	1	1	4	7	1	0	0	0	0	1	16	1	1761
438	24	1984	3975	68	0	1	1	1	1	0	10	14	1	0	0	0	364	1	9	1	799
439	35	368	116	9	1	1	1	1	1	0	6	17	1	0	0	0	18	0	11	1	357
440	19	505	700	14	0	1	1	1	1	0	17	36	1	0	0	0	103	1	7	1	2215
441	25	265	89	8	1	1	1	1	1	1	12	28	1	0	0	0	1	0	3	1	555
442	19	1798	123	8	0	0	1	1	0	1	15	31	1	0	0	0	842	0	5	1	1565
443	21	636	123	21	0	1	1	1	1	1	6	9	1	0	0	0	87	0	12	1	619
444	21	152	52	7	1	1	1	1	1	0	25	38	1	0	0	0	62	0	16	1	1405
445	22	1285	652	43	1	1	1	1	1	0	36	15	1	0	0	0	272	0	7	1	938
446	19	207	41	9	0	1	1	0	1	1	22	15	1	0	0	0	27	0	6	1	1604
447	20	1008	369	22	0	1	1	0	1	0	36	29	1	0	0	0	267	0	12	1	2530
448	22	594	201	14	0	0	1	1	1	0	20	36	1	0	0	0	203	0	4	1	1604
449	22	535	1205	17	0	0	1	0	1	1	19	25	1	0	0	0	176	0	18	1	4974
450	27	725	172	10	1	1	1	0	1	0	34	45	1	0	0	0	42	1	3	1	660
451	23	187	102	12	0	0	1	0	1	1	18	26	1	0	0	0	72	0	9	1	1416
452	22	1688	997	14	0	0	1	0	1	0	25	39	1	0	0	0	120	0	7	1	997
453	22	487	111	5	1	1	1	0	1	0	12	8	1	0	0	0	46	0	2	1	996
454	20	258	126	14	1	1	1	0	1	0	35	46	0	0	1	0	128	1	12	1	738
455	21	1718	789	30	0	0	1	1	1	1	45	52	1	0	0	0	47	0	14	1	1285
456	21	6363	1757	137	0	1	1	1	1	0	55	68	1	0	0	0	96	0	6	1	2511
457	20	2916	1270	42	0	0	1	0	1	0	20	13	1	0	0	0	25	0	5	1	1270
458	22	157	28	10	1	1	1	0	1	0	23	24	0	1	0	0	184	1	14	1	590
459	23	2279	1269	48	0	0	1	1	1	0	37	25	1	0	0	0	133	0	12	1	609
460	22	454	411	12	1	1	1	0	1	0	12	5	1	0	0	0	28	0	4	1	2042
461	24	683	224	17	0	0	1	1	1	0	28	36	1	0	0	0	23	0	23	1	1979
462	25	93	24	6	1	1	1	0	1	0	15	5	1	0	0	0	272	1	4	1	682
463	24	412	262	12	0	1	1	1	1	1	29	27	1	0	0	0	137	0	8	1	1463
464	24	380	349	4	1	1	1	1	1	1	4	3	1	0	0	0	4	0	10	0	487
465	24	70	0	5	1	1	1	1	1	0	2	5	0	1	0	0	34	0	6	1	1148
466	25	69	52	5	1	0	1	1	1	0	0	3	0	0	1	0	12	0	6	0	164
467	26	229	56	10	1	1	1	1	1	0	4	4	1	0	0	0	116	0	1	1	162
468	23	402	315	7	1	1	1	1	1	1	6	2	0	1	0	0	93	0	55	1	255
469	23	70	21	6	1	1	1	0	1	0	0	2	1	0	0	0	215	0	15	0	320
470	24	3476	1191	43	1	1	1	0	1	1	20	5	0	1	0	0	106	0	40	1	559
471	24	61	41	8	1	0	1	1	1	0	5	3	1	0	0	0	523	0	3	0	494
472	22	224	55	6	1	0	1	1	1	1	4	0	0	1	0	0	1834	0	13	1	723
473	24	640	222	6	1	1	1	1	1	1	3	2	1	0	0	0	122	0	5	0	857
474	24	9651	1473	10	1	1	1	1	1	1	3	14	1	0	0	0	10	0	25	0	1142
475	21	81	49	20	1	1	1	1	1	0	3	2	1	0	0	0	110	0	23	0	678
476	25	1318	881	15	1	1	1	1	1	0	2	10	0	0	1	0	4	0	32	0	626
477	22	49	30	6	1	1	1	1	1	1	6	4	1	0	0	0	42	0	26	0	393
478	25	696	536	11	1	1	1	1	1	1	1	4	0	0	1	0	62	0	0	0	479
479	26	1276	502	38	1	1	1	1	1	1	5	3	1	0	0	0	128	0	20	0	316
480	25	2479	1778	22	1	1	1	1	1	1	5	3	1	0	0	0	211	0	40	0	1645
481	22	2001	498	26	1	1	1	1	1	1	10	6	0	0	1	0	60	0	47	0	373
482	22	463	302	11	1	1	1	1	1	0	4	2	0	0	1	0	43	0	65	0	312
483	23	289	239	2	1	1	1	0	1	0	15	30	1	0	0	0	33	0	0	1	663
484	22	503	403	9	0	1	1	1	1	1	20	55	1	0	0	0	30	0	0	1	690
485	24	181	167	1	1	1	1	0	1	1	2	3	1	0	0	0	5	1	0	1	103
486	22	234	209	1	1	1	1	0	1	1	6	4	1	0	0	0	5	0	0	1	189
487	23	256	230	4	1	1	1	0	1	0	4	3	1	0	0	0	7	0	1	1	232
488	23	467	430	19	0	1	1	1	1	0	19	30	1	0	0	0	67	1	0	1	439
489	25	453	400	11	0	1	1	1	1	1	23	55	1	0	0	1	33	0	2	1	365
490	19	563	467	25	0	1	1	0	1	0	30	25	1	0	0	0	89	1	0	1	402
491	20	332	245	11	0	1	1	0	1	0	21	22	1	0	0	0	42	1	0	1	187
492	23	167	160	2	1	0	1	1	1	0	5	3	0	0	1	0	6	0	0	1	290
493	22	189	179	5	0	0	1	1	1	0	11	22	1	0	0	0	34	0	0	1	187
494	21	163	160	1	0	0	1	1	1	1	3	5	1	0	0	0	8	0	0	1	190
495	21	423	378	14	0	1	1	0	1	0	13	11	1	0	0	0	21	0	0	1	149
496	22	475	367	22	0	1	1	0	1	0	15	24	1	0	0	0	14	1	0	1	100
497	23	758	578	18	0	1	1	0	1	0	6	8	1	0	0	0	11	1	0	1	1146
498	25	235	198	3	1	1	1	0	1	1	2	11	1	0	0	0	17	1	0	1	183
499	25	372	301	5	0	1	1	1	1	0	11	7	1	0	0	0	24	0	0	1	89
500	26	181	173	1	0	1	1	0	1	0	4	18	1	0	0	0	8	0	0	1	146
501	24	342	302	4	1	1	1	0	1	1	11	33	1	0	0	0	30	1	1	1	203
502	23	670	560	5	0	1	1	0	1	0	30	39	1	0	0	0	67	0	0	1	458
503	25	1254	982	29	0	1	1	1	1	0	33	40	0	0	1	0	98	1	3	1	986
504	25	840	572	39	0	1	1	1	1	0	17	11	1	0	0	0	25	0	1	1	576
505	17	147	956	13	1	0	1	1	1	0	26	0	1	0	0	0	88	1	19	1	1225
506	22	998	1929	32	0	0	1	0	1	0	38	12	1	0	0	0	634	0	1	1	594
507	22	1779	338	37	1	1	1	1	1	0	29	23	1	0	0	0	273	0	2	1	23
508	44	92	718	7	0	1	1	0	1	1	57	36	1	0	0	5	78	1	1	1	506
509	20	651	922	17	0	0	1	0	1	1	27	30	0	1	0	0	74	0	1	1	357
510	22	419	139	19	0	1	1	0	1	1	23	16	1	0	0	0	234	0	4	1	842
511	22	831	1494	28	0	1	1	1	1	0	53	31	1	0	0	0	124	0	8	1	2137
512	23	252	0	9	1	0	1	0	1	0	59	22	1	0	0	0	86	0	3	1	1161
513	22	776	591	25	1	1	1	0	1	0	25	3	1	0	0	0	136	0	3	1	788
514	22	418	395	14	1	1	1	1	1	0	60	30	1	0	0	0	0	0	1	1	683
515	21	268	464	12	0	0	1	1	1	0	28	25	1	0	0	0	57	0	1	1	1395
516	24	211	451	21	1	1	1	1	1	0	36	8	0	1	0	0	119	0	14	1	269
517	22	1282	1706	21	0	1	1	0	1	0	57	15	1	0	0	0	49	0	5	1	622
518	56	438	67	22	1	1	1	0	1	1	26	35	1	0	0	3	237	0	3	1	341
519	22	1259	1721	32	0	1	1	0	1	0	17	45	1	0	0	0	294	0	3	1	775
520	27	2587	341	67	0	1	1	0	1	0	20	14	1	0	0	0	83	0	0	1	434
521	22	479	1277	17	0	0	1	1	1	0	26	42	1	0	0	0	59	0	3	1	1479
522	22	2479	1389	68	0	1	1	0	0	0	26	31	1	0	0	0	36	0	5	1	1103
523	23	89	192	9	1	1	0	0	1	1	42	27	1	0	0	0	115	0	2	1	591
524	24	66	268	8	1	1	1	0	1	1	33	22	1	0	0	0	57	0	18	1	222
525	24	518	370	26	1	1	1	0	1	1	17	10	1	0	0	0	23	0	2	1	302
526	26	5110	245	70	1	1	1	0	1	0	7	24	0	0	0	0	251	0	5	0	658
527	24	1163	350	29	1	1	1	0	1	0	32	45	0	1	0	0	81	0	1	1	326
528	25	1520	1041	22	1	1	1	0	0	1	37	52	0	0	0	0	123	0	1	0	691
529	21	857	673	27	1	1	1	0	1	0	10	15	0	0	1	0	37	0	3	1	564
530	32	56	1	6	0	1	0	1	1	1	70	10	0	0	1	1	53	0	3	1	93
531	26	239	56	10	1	1	1	1	1	0	10	13	0	1	0	0	35	0	1	1	352
532	21	47	241	5	1	1	1	0	1	0	6	26	1	0	0	0	369	0	4	1	99
533	20	160	628	13	1	1	1	1	1	0	19	74	1	0	0	0	82	0	5	1	796
534	21	239	284	15	1	1	1	1	1	1	22	28	0	1	0	0	202	0	1	1	943
535	24	433	593	15	1	1	1	1	1	1	27	9	0	0	1	0	89	0	15	1	967
536	34	196	30	18	1	1	0	0	1	1	4	2	0	1	0	1	10	0	0	1	275
537	35	104	224	12	1	1	1	0	1	1	17	12	0	0	0	1	40	0	4	0	563
538	29	148	113	7	1	1	1	1	1	0	0	0	0	0	0	0	23	0	4	0	717
539	21	222	693	12	1	1	1	0	1	1	25	43	1	0	0	0	95	0	1	1	594
540	25	1842	2824	52	0	1	1	1	1	1	51	68	1	0	0	0	59	0	1	1	366
541	26	1055	44	26	0	1	1	0	1	1	19	18	0	1	0	0	589	0	1	1	468
542	25	5	40	4	1	1	1	0	1	0	27	12	0	0	0	0	143	0	1	0	115
543	22	128	150	10	1	1	1	1	1	1	10	26	0	0	1	0	1	0	0	1	175
544	23	2508	1712	63	1	1	1	1	1	1	4	9	0	0	1	0	9	0	0	1	600
545	26	640	967	14	1	1	1	0	1	0	9	19	1	0	0	0	48	0	3	1	1109
546	22	469	609	20	1	0	1	1	1	0	27	3	1	0	0	0	116	0	2	1	1340
547	22	2757	1275	35	0	1	1	1	1	0	250	15	1	0	0	0	158	0	7	1	1176
548	22	4612	1330	88	0	1	1	0	1	0	161	85	1	0	0	0	75	0	2	1	1216
549	48	804	27	45	0	1	1	0	1	0	15	12	1	0	0	0	93	0	15	1	404
550	31	1453	543	53	0	1	1	1	1	1	49	16	1	0	0	0	137	0	12	1	1120
551	21	1325	825	23	0	0	1	1	1	1	13	3	0	1	0	0	10	0	3	1	1325
552	21	791	238	14	1	1	1	0	0	0	129	56	0	0	0	0	659	0	18	1	2941
553	15	39	22	7	1	0	1	0	1	0	64	11	1	0	0	0	109	1	3	1	718
554	22	181	789	10	1	0	1	1	1	1	6	2	1	0	0	0	29	0	19	1	923
555	19	795	1679	18	0	0	1	1	1	0	13	2	1	0	0	0	19	0	1	1	1128
556	22	315	761	13	0	1	1	0	1	1	11	5	1	0	0	0	157	0	9	1	1236
557	24	3403	1642	75	0	1	1	0	1	0	23	12	0	0	1	0	102	1	7	1	1326
558	21	425	747	12	1	0	1	0	0	0	46	33	0	0	0	0	266	0	4	0	1494
559	21	130	393	10	1	0	1	1	1	0	8	0	1	0	0	0	143	0	3	1	1074
560	32	1104	444	54	0	1	0	1	1	1	23	3	1	0	0	1	37	0	2	1	643
561	19	2176	0	51	0	1	1	1	1	0	16	9	0	0	1	0	0	0	4	1	1038
562	22	2075	1032	51	0	0	1	1	1	1	15	3	0	0	0	0	292	0	6	0	679
563	22	30	89	5	1	0	1	0	1	1	15	3	1	0	0	0	141	0	3	1	669
564	29	992	382	23	1	1	1	1	1	1	34	27	0	1	0	0	534	0	18	1	1893
565	30	576	303	26	1	1	1	0	1	1	45	14	1	0	0	0	197	0	8	1	844
566	33	971	559	33	0	1	1	1	1	1	23	10	1	0	0	1	19	1	2	1	1075
567	32	2257	1227	53	0	1	1	1	1	1	40	30	1	0	0	1	8	1	46	1	1611
568	30	486	373	21	0	1	1	0	1	0	64	0	1	0	0	0	8	0	12	1	546
569	25	757	444	19	1	1	1	0	1	1	0	0	0	0	1	0	8	0	6	1	1040
570	25	323	214	26	0	1	1	0	1	0	7	1	1	0	0	0	14	0	7	1	569
571	21	38	175	5	1	1	1	0	1	0	4	4	1	0	0	0	107	0	5	1	1172
572	25	172	232	7	1	1	1	0	1	0	5	5	1	0	0	0	53	1	1	1	36
573	39	129	388	7	1	1	1	0	1	1	4	0	1	0	0	1	145	1	26	1	1032
574	29	376	189	16	0	1	1	0	1	1	4	2	1	0	0	1	49	1	17	1	207
575	44	52	35	4	0	1	1	0	1	1	4	3	0	0	1	0	30	1	15	1	463
576	32	113	356	8	0	1	1	0	1	1	4	2	1	0	0	1	28	1	2	1	416
577	25	573	1242	29	0	1	1	1	1	1	4	4	1	0	0	1	48	1	0	1	647
578	27	499	541	20	0	1	1	1	1	1	3	3	1	0	0	0	36	1	20	1	478
579	24	33	7	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	0	1	127
580	29	909	319	34	0	1	1	1	1	1	4	12	1	0	0	0	69	1	4	1	553
581	44	35	52	4	0	1	1	1	1	1	7	6	1	0	0	0	30	1	16	1	463
582	25	1635	128	40	1	1	1	1	1	1	2	2	1	0	0	0	342	1	7	1	1608
583	35	744	55	16	1	1	1	1	1	0	2	2	1	0	0	0	148	1	11	1	4999
584	30	471	185	13	0	1	1	0	1	1	4	3	1	0	0	1	35	1	21	1	587
585	33	2539	279	34	0	1	1	1	1	0	4	8	1	0	0	0	35	1	21	1	440
586	34	592	709	22	1	1	1	1	0	0	4	12	1	0	0	0	145	1	2	1	3
587	31	149	79	8	0	1	1	1	1	1	1	1	1	0	0	2	4	1	1	1	176
588	21	1291	524	25	0	1	1	1	1	1	24	40	1	0	0	0	10	0	15	1	290
589	20	282	146	18	1	0	1	0	1	0	38	20	1	0	0	0	332	0	10	1	420
590	20	6483	1499	82	0	1	1	0	1	0	52	79	1	0	0	0	1973	1	32	1	1965
591	20	468	723	9	1	1	1	1	1	1	15	11	1	0	0	0	175	0	4	1	279
592	16	17	7	6	1	0	1	0	1	0	1	0	1	0	0	0	36	1	2	1	198
593	21	30	80	6	1	1	1	0	1	0	2	1	1	0	0	0	123	0	16	1	537
594	20	353	873	14	0	1	1	0	1	0	28	38	1	0	0	0	1462	0	12	1	822
595	19	580	310	19	0	0	1	1	0	1	41	11	1	0	0	0	281	0	16	1	1550
596	20	144	157	25	0	1	1	1	1	1	6	2	0	1	0	1	188	0	12	1	206
597	20	147	156	10	1	0	1	0	1	0	20	26	1	0	0	0	60	0	2	1	1277
598	20	414	185	23	0	1	1	0	1	0	16	26	1	0	0	0	618	0	4	1	865
599	20	265	499	9	0	1	1	0	1	1	31	19	1	0	0	1	570	0	2	1	537
600	20	58	211	6	1	1	1	1	1	0	2	1	1	0	0	0	467	0	5	1	508
601	21	188	65	11	1	0	1	1	1	0	3	1	1	0	0	0	91	0	1	1	316
602	20	34	431	5	1	1	1	1	1	0	8	1	1	0	0	0	155	0	4	1	735
603	21	342	139	15	1	1	1	0	1	0	37	16	1	0	0	0	627	0	10	1	781
604	21	1987	510	34	0	1	1	1	1	1	80	100	1	0	0	0	429	0	6	1	725
605	21	15	88	3	1	1	1	1	1	0	10	3	1	0	0	1	0	0	3	1	1067
606	21	241	515	12	1	1	1	0	1	0	38	5	1	0	0	0	94	0	1	1	635
607	21	627	207	15	1	1	1	1	1	0	2	5	1	0	0	0	202	0	11	1	1231
608	19	166	448	9	0	1	1	1	1	1	7	1	1	0	0	0	101	0	4	1	522
609	21	59	92	4	1	1	1	0	1	0	4	24	1	0	0	0	7	0	0	1	578
610	20	163	463	18	1	1	1	0	1	0	3	11	1	0	0	0	73	0	0	1	548
