"Facebook Social Network Database (n = 715 observations, m = 21 variables)"																					
Friend 	Age	Photos	# of Tags	Albums	Gender 	Emp	Profile	Cover	Orientation	Relationship	Posts	Replies	MidWest	Seast	West	Children	Likes	Edu	Events	USA	Friends
69	21	43	372	7	1	0	0	0	1	0	15	9	1	0	0	0	117	0	7	1	769
70	23	2075	1163	26	0	1	1	0	1	0	66	59	1	0	0	0	86	0	1	1	867
71	22	5585	2658	71	0	1	1	0	1	1	25	6	1	0	0	0	160	0	6	1	980
72	25	1849	773	56	0	1	1	0	1	1	10	1	1	0	0	0	181	0	1	1	954
73	26	454	401	19	0	1	1	0	0	0	28	10	1	0	0	0	49	0	3	1	782
74	25	353	275	12	1	1	1	0	1	1	115	24	1	0	0	0	8	1	3	1	494
75	31	459	68	18	0	0	1	0	1	1	20	15	1	0	0	3	208	1	1	1	119
76	23	433	473	27	0	1	1	0	1	1	29	10	1	0	0	0	259	0	4	1	869
77	24	60	292	5	1	1	1	0	0	0	3	0	1	0	0	0	27	0	4	1	573
78	27	660	958	31	1	1	1	0	1	0	80	37	1	0	0	1	314	1	1	1	608
79	24	3007	986	57	0	0	1	0	1	0	25	18	1	0	0	0	135	0	6	1	1104
80	25	984	125	23	1	1	1	0	1	1	58	29	1	0	0	0	266	0	4	1	377
81	25	3837	856	115	1	1	1	0	1	1	63	14	0	1	0	0	133	0	13	1	436
82	27	639	870	32	1	1	1	0	0	0	12	1	1	0	0	0	29	0	2	1	676
83	29	298	108	15	1	1	1	0	1	1	4	1	1	0	0	3	274	0	2	1	259
84	38	257	48	20	1	1	0	0	1	1	0	0	1	0	0	2	96	0	5	1	1038
85	21	704	280	24	0	0	1	1	1	1	9	21	0	1	0	0	56	0	5	1	569
86	26	426	360	21	1	1	1	0	1	0	11	30	1	0	0	0	32	0	2	1	553
87	27	589	479	27	1	1	1	0	1	0	7	10	1	0	0	0	25	0	1	1	292
88	33	142	90	9	1	1	1	0	1	1	13	22	1	0	0	0	14	0	8	1	383
89	23	473	419	16	1	1	1	0	1	1	2	4	1	0	0	0	18	0	0	1	771
90	20	149	122	17	0	1	1	0	1	0	17	32	1	0	0	0	34	1	9	1	363
91	23	382	269	22	0	0	1	1	1	1	14	22	1	0	0	0	15	1	2	1	652
92	22	290	242	14	1	1	1	0	1	0	11	17	1	0	0	0	42	0	3	1	567
93	24	340	276	15	0	1	1	1	1	0	18	33	1	0	0	0	20	1	5	1	620
94	18	284	261	17	0	1	1	0	1	0	15	24	1	0	0	0	12	0	2	1	432
95	31	392	302	19	0	1	1	0	1	0	21	36	1	0	0	0	22	0	7	1	387
96	22	562	446	28	1	0	1	0	1	1	11	20	1	0	0	0	51	0	5	1	417
97	25	463	321	22	1	1	1	1	1	1	14	31	1	0	0	0	23	0	4	1	552
98	26	254	187	13	1	1	1	0	1	1	18	27	1	0	0	0	33	1	6	1	490
99	23	367	263	18	1	0	1	1	1	0	23	44	1	0	0	0	25	1	8	1	389
100	23	1094	876	42	0	1	1	0	1	1	8	12	1	0	0	0	17	0	3	1	325
101	20	197	101	8	1	1	1	0	1	0	12	19	1	0	0	0	13	0	2	1	467
102	18	442	367	29	0	1	1	0	1	0	18	23	1	0	0	0	10	0	2	1	551
103	23	181	123	5	1	0	1	0	1	1	11	29	0	1	0	0	17	0	4	1	624
104	20	463	387	22	0	1	1	1	1	1	16	11	1	0	0	0	22	1	3	1	562
105	24	393	201	24	1	0	1	0	1	1	8	16	1	0	0	0	12	0	2	1	180
106	24	132	721	10	1	1	0	0	1	1	16	15	1	0	0	0	43	0	5	1	234
107	18	245	1032	14	0	1	1	1	1	0	29	22	1	0	0	0	64	0	19	1	657
108	15	90	432	17	0	1	1	1	1	0	25	13	0	1	0	0	28	1	2	1	445
109	22	52	313	3	1	1	1	1	1	1	33	10	1	0	0	0	32	0	5	1	210
110	27	95	546	4	1	1	0	1	1	1	4	8	0	0	1	0	30	0	15	1	105
111	52	29	532	5	0	1	0	1	1	1	21	26	0	1	0	1	40	0	8	1	289
112	29	13	43	6	0	1	1	1	1	1	26	30	1	0	0	1	18	0	22	1	765
113	13	167	638	10	0	0	0	1	1	0	14	19	1	0	0	0	22	1	0	1	105
114	19	732	1066	9	0	1	1	1	1	0	15	12	0	1	0	0	45	1	12	1	532
115	21	239	298	5	0	1	1	0	1	0	10	5	0	0	1	0	28	0	18	0	312
116	28	832	642	2	0	1	0	0	1	1	14	10	0	0	1	0	36	0	24	1	225
117	25	592	63	13	0	1	1	1	1	1	5	2	1	0	0	0	21	0	13	1	671
118	20	472	863	8	0	1	1	1	1	1	24	28	1	0	0	0	19	0	9	1	803
119	20	934	599	5	1	1	0	1	1	0	16	30	0	1	0	0	31	0	8	1	519
120	27	901	95	5	1	1	1	0	1	1	7	4	1	0	0	0	27	0	13	0	423
121	16	29	93	7	0	0	1	0	1	0	18	12	1	0	0	0	34	1	17	0	372
122	23	105	865	15	0	1	1	1	1	1	25	17	1	0	0	0	51	0	6	1	106
123	26	39	327	6	0	1	0	0	1	1	27	29	0	0	1	0	52	0	11	1	507
124	33	207	88	9	0	1	1	0	1	1	13	9	0	0	1	1	20	0	0	1	206
125	38	458	851	2	1	1	1	1	1	1	15	26	0	0	1	1	32	0	6	0	79
126	24	305	909	7	0	1	1	1	1	0	28	32	1	0	0	1	17	0	4	1	299
127	21	23	112	3	1	1	1	1	1	0	56	43	1	0	0	0	62	0	12	1	428
128	21	42	178	3	1	1	1	1	1	1	10	5	1	0	0	0	14	1	3	1	702
129	25	12	375	3	1	0	1	1	1	1	25	18	1	0	0	0	22	0	6	1	201
130	25	17	56	2	1	1	1	1	1	1	32	28	1	0	0	0	20	1	2	1	247
131	20	75	327	4	0	1	1	1	1	1	78	64	1	0	0	0	114	0	7	1	603
132	22	42	201	3	1	1	0	0	1	1	24	20	1	0	0	0	25	0	6	1	342
